Name1,Name2,Co-mentions,Average Sentiment
Donald Trump,Sardar Pashaei,5,0.0970398178210678
Donald Trump,Shahin Nasseri,5,0.0970398178210678
Donald Trump,Ayatollah Ali Khamenei,5,0.0970398178210678
Donald Trump,Mahmood Amiry-Moghaddam,5,0.0970398178210678
Donald Trump,CNNNavid Afkari,5,0.0970398178210678
Donald Trump,Max Fisher,5,0.0970398178210678
Donald Trump,Hassan Younesi,5,0.0970398178210678
Donald Trump,Nancy Pelosi,24,0.0720931209336224
Donald Trump,Mitch McConnell,22,0.0424125359241527
Donald Trump,Liz Cheney,12,0.0432580982086903
Donald Trump,Joe Biden,152,0.0619859880839054
Donald Trump,Paul Gosar,16,0.0056229655618782
Donald Trump,Kari Lake,8,0.0380544975067015
Donald Trump,Marjorie Taylor Greene,20,0.052598977834156
Donald Trump,Emily Rainey,8,-0.0242280384277046
Donald Trump,Ron Johnson,12,0.0886115213453729
Donald Trump,Barack Obama,76,0.0516408580670351
Donald Trump,Mo Brooks,20,0.0516498022361526
Donald Trump,Rudy Giuliani,28,0.0585667658617861
Donald Trump,John Sullivan,10,0.0325469963728221
Donald Trump,Ken Paxton,18,0.1035608561145013
Donald Trump,Christopher Wray,8,0.0407894990910356
Donald Trump,Matt Gaetz,8,0.0264129194175298
Donald Trump,Sarah Palin,6,0.0772914217224326
Donald Trump,J.D. Vance,8,0.1369116362348005
Donald Trump,Sarah Godlewski,6,0.1397410041756054
Donald Trump,Chuck Morse,6,0.128012507460937
Donald Trump,Allen West,6,0.1455187416063033
Donald Trump,Peter Thiel,8,0.1369116362348005
Donald Trump,Tom Suozzi,6,0.1083138988787538
Donald Trump,Sam Brown,6,0.128012507460937
Donald Trump,Jessica Cisneros,8,0.1457990334607312
Donald Trump,Eva Guzman,8,0.1457990334607312
Donald Trump,Mike Gibbons,6,0.1397410041756054
Donald Trump,John Fetterman,6,0.128012507460937
Donald Trump,Vicky Hartzler,8,0.1279170042220763
Donald Trump,Josh Mandel,6,0.128012507460937
Donald Trump,David McCormick,6,0.128012507460937
Donald Trump,Mandela Barnes,8,0.1369116362348005
Donald Trump,Kevin McCarthy,10,0.1271888419522941
Donald Trump,Eric Greitens,12,0.1031664360189402
Donald Trump,Mike Garcia,6,0.1182138260857242
