,Name1,Name2,Co-mentions,Average Sentiment
1391,Donald Trump,Ruben Ramirez,6,0.1540816554509275
1392,Donald Trump,Monica De La Cruz,6,0.1540816554509275
1395,Donald Trump,Vicente Gonzalez,6,0.1540816554509275
1399,Donald Trump,Joe Arpaio,10,0.0982059092660134
1414,Donald Trump,Hillary Clinton,46,0.0855429100418542
1434,Donald Trump,George Bush,8,0.099884540465473
1454,Donald Trump,Jair Bolsonaro,6,0.1257627650937785
1464,Donald Trump,Bubba Wallace,8,0.0392494825124407
1469,Donald Trump,George Floyd,22,0.0427814517436814
1495,Donald Trump,Breonna Taylor,10,0.0627662115969971
1497,Donald Trump,Eric Schmidt,8,0.1136042033402327
1502,Donald Trump,Ashraf Ghani,6,0.0926415101164432
1509,Donald Trump,Narendra Modi,6,0.1110804309527462
1519,Donald Trump,Ronald Reagan,26,0.0864192641431284
1542,Donald Trump,John D Sutter,8,0.0796595119021733
1553,Donald Trump,Steve Bannon,6,0.0507064372054561
1562,Donald Trump,Martin Luther King Jr,24,0.0545213097146691
1569,Donald Trump,George Wallace,6,0.0307734358633639
1575,Donald Trump,Ben Carson,6,0.060826301070066
1577,Donald Trump,George HW Bush,10,0.0544743556030479
1579,Donald Trump,Saddam Hussein,6,0.0220494007121574
1581,Donald Trump,George H W Bush,8,0.0036971760879635
1583,Donald Trump,Carol Anderson,6,0.0207724996633427
1587,Donald Trump,Shayne Lee,6,0.0930684414780926
1597,Donald Trump,Jared Kushner,6,-0.0090376753354843
1623,Donald Trump,Michael Dukakis,8,-0.0283113474689561
1624,Donald Trump,Donald Trumps,22,0.0570969556442479
1625,Donald Trump,Willie Horton,7,-0.0220160446868521
1626,Donald Trump,Benjamin Netanyahu,6,0.0244253938920156
1631,Donald Trump,Jeffrey Myers,6,-0.0086632024187904
1632,Donald Trump,Melania Trump,14,0.028397458294251
1662,Donald Trump,Sanjay Gupta,12,0.0720779033593604
1673,Donald Trump,Arnold Schwarzenegger,6,0.0752183244754885
1705,Donald Trump,Roger Stone,16,0.072317857159836
1720,Donald Trump,Heather Heyer,8,0.0231944658934179
1735,Donald Trump,Muhammad Ali,12,0.0978969805252581
1736,Donald Trump,Steph Curry,10,0.0890979630747272
1739,Donald Trump,Omar Suleiman,8,0.0443145126941623
1750,Donald Trump,Eric Liu,8,0.097170854015656
1756,Donald Trump,Mark Naison,8,0.008541171774475
